feature,mean_importance
t2m_max_toulouse,0.0
t2m_marseille,0.0
t2m_max_marseille,0.0
prectot_marseille,0.0
t2m_min_lyon,0.0
t2m_lyon,0.0
t2m_max_lyon,0.0
prectot_lyon,0.0
t2m_min_nice,0.0
t2m_nice,0.0
t2m_min_marseille,0.0
t2m_max_nice,0.0
t2m_min_strasbourg,0.0
t2m_strasbourg,0.0
prectot_strasbourg,0.0
t2m_min_montpellier,0.0
t2m_montpellier,0.0
t2m_max_montpellier,0.0
prectot_montpellier,0.0
weighted_t2m,0.0
weighted_t2m_min,0.0
prectot_nice,0.0
prectot_toulouse,0.0
weighted_prectot,0.0
t2m_min_paris,0.0
t2m_min_lille,0.0
t2m_bordeaux,0.0
t2m_lille,0.0
t2m_max_lille,0.0
prectot_lille,0.0
t2m_min_toulouse,0.0
t2m_min_bordeaux,0.0
t2m_max_paris,0.0
prectot_bordeaux,0.0
prectot_paris,0.0
t2m_rennes,0.0
t2m_max_rennes,0.0
prectot_rennes,0.0
t2m_min_nantes,0.0
t2m_nantes,0.0
t2m_max_nantes,0.0
prectot_nantes,0.0
month,0.0
week_number,0.0
t2m_max_bordeaux,0.0
weekday,2040583713.5484436
t2m_max_strasbourg,4257219337.696692
t2m_min_rennes,7306801385.852081
t2m_paris,13978602741.362555
t2m_toulouse,52541555870.281136
weighted_t2m_max,180816660330.0293
