feature,shap_importance
weighted_t2m_max,264497.7388042021
t2m_paris,49881.66720271964
weekday,30662.601668588384
t2m_max_strasbourg,25155.053869741227
t2m_toulouse,23697.961520494195
t2m_min_rennes,11105.077849605977
t2m_max_marseille,0.0
prectot_marseille,0.0
t2m_min_lyon,0.0
t2m_lyon,0.0
t2m_max_lyon,0.0
prectot_lyon,0.0
t2m_min_nice,0.0
t2m_nice,0.0
t2m_max_nice,0.0
t2m_min_strasbourg,0.0
prectot_nice,0.0
t2m_min_marseille,0.0
t2m_strasbourg,0.0
prectot_strasbourg,0.0
t2m_min_montpellier,0.0
t2m_montpellier,0.0
t2m_max_montpellier,0.0
prectot_montpellier,0.0
weighted_t2m,0.0
weighted_t2m_min,0.0
t2m_marseille,0.0
t2m_max_toulouse,0.0
prectot_toulouse,0.0
t2m_min_paris,0.0
week_number,0.0
t2m_min_bordeaux,0.0
t2m_bordeaux,0.0
t2m_max_bordeaux,0.0
prectot_bordeaux,0.0
t2m_min_lille,0.0
t2m_lille,0.0
t2m_max_lille,0.0
prectot_lille,0.0
t2m_max_paris,0.0
month,0.0
prectot_paris,0.0
t2m_rennes,0.0
t2m_max_rennes,0.0
prectot_rennes,0.0
t2m_min_nantes,0.0
t2m_nantes,0.0
t2m_max_nantes,0.0
prectot_nantes,0.0
t2m_min_toulouse,0.0
weighted_prectot,0.0
