feature,mean_importance
prectot_lille,-0.0017009116605428477
prectot_lyon,-0.0015713932983472123
weighted_prectot,-3.3325950376439374e-05
t2m_max_nice,0.00018118020474440223
weighted_t2m,0.00021011771613288488
prectot_strasbourg,0.000401872358862132
prectot_rennes,0.0005367039917095528
prectot_bordeaux,0.0006240639888178912
weighted_t2m_max,0.0006738021705816166
t2m_max_montpellier,0.0009681486229136782
prectot_toulouse,0.0017286254444504935
prectot_nice,0.002618126011387445
t2m_min_nantes,0.0028860035210822367
weighted_t2m_min,0.0031720967098775254
t2m_min_lille,0.0035571961707136167
prectot_montpellier,0.004314857933495064
prectot_paris,0.00484852725677154
t2m_lyon,0.00600703751262206
month,0.006187958237033375
t2m_max_lille,0.006712027511789431
week_number,0.007736021903999535
prectot_marseille,0.008060267736855021
t2m_max_bordeaux,0.008473396317872584
prectot_nantes,0.009419062837209525
t2m_paris,0.01393508800048462
t2m_max_paris,0.014430928143723154
t2m_min_bordeaux,0.021321058346616528
weekday,0.024356719139868345
t2m_max_lyon,0.02749251226988836
t2m_marseille,0.02785319853699415
t2m_min_paris,0.035420974909105896
t2m_max_nantes,0.03592682720373044
t2m_min_lyon,0.04209306698598736
t2m_min_toulouse,0.047959992865645965
t2m_min_rennes,0.048792825421745366
t2m_min_marseille,0.05058875504700082
t2m_lille,0.05613431718799768
t2m_max_toulouse,0.0802368109044227
t2m_min_montpellier,0.09163231000162705
t2m_strasbourg,0.09575929905622096
t2m_nantes,0.1037184056053394
t2m_min_strasbourg,0.11115885331133221
t2m_max_marseille,0.12798774983272732
t2m_max_strasbourg,0.2555591942894912
t2m_max_rennes,0.35881050841340134
t2m_bordeaux,0.37135049058457276
t2m_min_nice,0.44225265496217137
t2m_montpellier,0.4538993599953356
t2m_rennes,0.46471134122378216
t2m_nice,0.8579784235254287
t2m_toulouse,0.8940972493464502
