feature,shap_importance
t2m_toulouse,0.5699835422480641
t2m_nice,0.5656891564053516
t2m_montpellier,0.4113090641375359
t2m_min_nice,0.401530541060268
t2m_rennes,0.39836127175774866
t2m_max_rennes,0.3653626011264492
t2m_bordeaux,0.3530334405148123
t2m_max_strasbourg,0.30731701087537067
t2m_max_marseille,0.23309377937390413
t2m_min_strasbourg,0.19355089530200784
t2m_strasbourg,0.1909353140653676
t2m_min_montpellier,0.18441462688071378
t2m_nantes,0.18360546701021116
t2m_max_toulouse,0.15749836227951755
t2m_min_marseille,0.14286940421037553
t2m_lille,0.137848006052794
t2m_min_rennes,0.13478493307474923
t2m_min_lyon,0.13032994251323646
t2m_min_toulouse,0.12252185310457626
t2m_min_paris,0.12018414073930728
weekday,0.11285526764781849
t2m_max_nantes,0.10968004328523259
t2m_max_lyon,0.10146709301050462
t2m_min_bordeaux,0.09841868042189147
t2m_marseille,0.09470513497195009
t2m_max_paris,0.07617777890913492
t2m_paris,0.06453256896504085
week_number,0.06218462911069057
t2m_max_bordeaux,0.06074537714067045
t2m_max_lille,0.047245068167261275
month,0.04704879637423741
t2m_min_nantes,0.044838892454043204
prectot_nantes,0.04342969736962068
t2m_lyon,0.0410638558177096
weighted_t2m_min,0.04043103642064844
prectot_marseille,0.03953518622020653
prectot_toulouse,0.03781678824525889
prectot_montpellier,0.028556450523267145
prectot_nice,0.027467344996252915
t2m_min_lille,0.027162256695620658
prectot_lille,0.02408049194150436
prectot_lyon,0.020686772078880398
prectot_paris,0.0191628556183388
prectot_rennes,0.01717316426401755
t2m_max_montpellier,0.016983410058882754
weighted_t2m_max,0.014321802694735212
prectot_bordeaux,0.010691682786218652
t2m_max_nice,0.007765645439682781
weighted_t2m,0.005734033651999583
prectot_strasbourg,0.0013324942828834552
weighted_prectot,0.0004115409955192615
