feature,mean_importance
prectot_nantes,-0.006564362141087843
prectot_nice,-0.004823584748043608
weighted_t2m_min,-0.0030601337094353642
t2m_max_nantes,-0.0021357584300814247
t2m_min_paris,-0.0019454932125632762
prectot_lyon,-0.0017591858147857132
t2m_min_montpellier,-0.0014557858567032511
prectot_paris,-0.0008862981537438363
prectot_marseille,-0.0007625035224073873
prectot_lille,-0.0005012435244668323
t2m_strasbourg,-0.00036523475254861547
prectot_rennes,0.00048264344931212564
t2m_max_montpellier,0.0006157975962608253
prectot_bordeaux,0.0009619040243528554
weighted_prectot,0.0012579083352879162
t2m_max_lyon,0.0012580244671839048
weighted_t2m,0.001641106587841401
t2m_max_paris,0.001976380976826686
t2m_min_nantes,0.002221938987727423
t2m_lyon,0.0023127971956078187
t2m_max_lille,0.002824408401362355
t2m_rennes,0.0034658772809939677
prectot_toulouse,0.003675930249365944
t2m_marseille,0.0038327162823188488
t2m_lille,0.003870606329517323
prectot_montpellier,0.004180542903823636
t2m_min_nice,0.004994478601481167
t2m_max_nice,0.00523955545207766
t2m_max_toulouse,0.005295111251676254
prectot_strasbourg,0.0056931048628264145
t2m_min_lyon,0.005797873475001625
t2m_max_bordeaux,0.007303190833093054
t2m_min_lille,0.007383708349628315
t2m_montpellier,0.007808159669218151
t2m_min_bordeaux,0.0086946572719242
t2m_paris,0.009164535850596511
t2m_bordeaux,0.009678668948315417
t2m_max_strasbourg,0.01058747928045578
t2m_nantes,0.01094818028102984
t2m_max_marseille,0.011150420330953148
t2m_max_rennes,0.01555462183244143
t2m_min_strasbourg,0.017343276340039137
t2m_nice,0.028859039518919105
t2m_min_marseille,0.029691314423294625
t2m_min_rennes,0.033810682565820385
weekday,0.037834417119893105
t2m_min_toulouse,0.04051904788910361
weighted_t2m_max,0.04181572365122197
t2m_toulouse,0.04628847924677197
month,0.11026707727945675
week_number,0.15598083056543124
