feature,shap_importance
weighted_t2m_max,0.1677938997745514
weekday,0.11568696796894073
month,0.09062254428863525
week_number,0.08710763603448868
t2m_nice,0.08620313555002213
t2m_min_strasbourg,0.04819926247000694
t2m_max_nice,0.04513043537735939
prectot_toulouse,0.04370962083339691
t2m_max_strasbourg,0.04365953058004379
t2m_paris,0.039927635341882706
t2m_min_marseille,0.03646906837821007
prectot_lille,0.030787749215960503
t2m_lyon,0.03024211712181568
t2m_min_toulouse,0.02841353788971901
t2m_min_rennes,0.026454094797372818
t2m_toulouse,0.025556109845638275
t2m_min_nice,0.024872973561286926
t2m_max_bordeaux,0.023294635117053986
t2m_max_rennes,0.022865673527121544
prectot_marseille,0.021722916513681412
prectot_nantes,0.021426066756248474
t2m_lille,0.02120000310242176
t2m_max_lyon,0.020740417763590813
t2m_max_toulouse,0.020733799785375595
t2m_min_bordeaux,0.019858596846461296
t2m_rennes,0.019771957769989967
t2m_min_lille,0.01910046674311161
t2m_strasbourg,0.018947700038552284
prectot_paris,0.01891953870654106
prectot_lyon,0.018535368144512177
t2m_max_marseille,0.017208009958267212
t2m_nantes,0.01596914790570736
t2m_montpellier,0.015473220497369766
prectot_strasbourg,0.015342059545218945
t2m_min_lyon,0.015152801759541035
t2m_max_paris,0.015051792375743389
t2m_min_paris,0.01468011923134327
prectot_bordeaux,0.014005850069224834
t2m_max_lille,0.012886383570730686
t2m_bordeaux,0.012789509259164333
prectot_rennes,0.011557793244719505
t2m_min_montpellier,0.011155656538903713
weighted_t2m_min,0.010548681020736694
weighted_prectot,0.009879983961582184
t2m_max_nantes,0.009254523552954197
prectot_nice,0.008941331878304482
t2m_marseille,0.00825006514787674
prectot_montpellier,0.007738217711448669
t2m_max_montpellier,0.007226017769426107
t2m_min_nantes,0.00635884702205658
weighted_t2m,0.005119558423757553
