feature,mean_importance
t2m_max_nantes,-0.00037925623965446854
t2m_min_rennes,-0.00037631763868999356
prectot_rennes,-0.00030854954334798014
t2m_max_paris,-0.00022186710919234188
prectot_nantes,-0.00014438890315815467
t2m_max_rennes,-0.00011427156394994142
t2m_montpellier,-7.032395017974036e-05
weighted_t2m_min,-6.661338147750939e-17
weighted_prectot,-4.4408920985006264e-17
prectot_nice,-2.2204460492503132e-17
prectot_strasbourg,-2.2204460492503132e-17
t2m_max_lille,-2.2204460492503132e-17
prectot_lille,1.9463869102986918e-05
prectot_paris,0.00010536568382051304
prectot_lyon,0.00010782345351405543
t2m_min_marseille,0.0001806496284209036
prectot_montpellier,0.0003612843302053026
t2m_max_montpellier,0.00044480344138706494
prectot_marseille,0.0004596596231318362
t2m_max_toulouse,0.000564473551196798
t2m_min_montpellier,0.0007249003304404811
t2m_min_nice,0.0011612335924538809
month,0.0012437624312132023
prectot_toulouse,0.0015550408684142259
prectot_bordeaux,0.0019549744443293935
t2m_min_nantes,0.0020376529650509624
week_number,0.002178900490097857
t2m_min_bordeaux,0.0026035086302171884
t2m_bordeaux,0.0026187612376092017
t2m_marseille,0.003848061066792008
t2m_nantes,0.0039137373926388715
t2m_max_lyon,0.0042738915865073055
t2m_lyon,0.004349584473757861
t2m_min_lyon,0.004401244102341018
t2m_toulouse,0.0046553413058408434
t2m_rennes,0.004860048777307524
t2m_min_toulouse,0.0059913640112253756
t2m_strasbourg,0.007234781033543291
weighted_t2m,0.007741918810419857
t2m_max_bordeaux,0.008317601808748987
t2m_min_strasbourg,0.009099864272855075
t2m_max_nice,0.011209459171042524
t2m_min_paris,0.011483505956702333
t2m_nice,0.01269133425930451
t2m_min_lille,0.015586818610970799
t2m_max_marseille,0.01754979076811969
weekday,0.01918323646161455
t2m_lille,0.024319575115116888
t2m_paris,0.027816135093132476
t2m_max_strasbourg,0.04571748556777342
weighted_t2m_max,0.05795191811924845
