feature,shap_importance
weighted_t2m_max,0.17154438841330522
t2m_max_strasbourg,0.1057058533700429
t2m_max_nice,0.06229110931860834
weekday,0.05804522256993014
t2m_paris,0.05579829532384281
t2m_nice,0.03800628100124762
t2m_max_bordeaux,0.03366586615801214
t2m_min_nice,0.030248695115406152
t2m_lyon,0.026978704635394087
t2m_max_marseille,0.020918755987517038
weighted_t2m,0.018518786412622334
t2m_rennes,0.017858130815197576
t2m_lille,0.0170232025026554
t2m_min_lyon,0.015998679126411494
t2m_strasbourg,0.015243338033582706
t2m_min_paris,0.014757479979325876
t2m_min_lille,0.014090080661365823
t2m_max_lyon,0.013743275569827894
t2m_min_toulouse,0.013078480908458602
t2m_min_bordeaux,0.010520888359355376
prectot_nantes,0.010318704877254368
t2m_marseille,0.009656383859366654
t2m_min_marseille,0.009504222957807562
t2m_max_paris,0.008193530062197092
t2m_min_nantes,0.0064350028232646826
prectot_lille,0.006082723716228026
prectot_marseille,0.005983462281766858
t2m_min_strasbourg,0.005745324944603172
t2m_min_rennes,0.005297551008409318
t2m_max_toulouse,0.00516433024852966
t2m_bordeaux,0.004678261894928433
t2m_toulouse,0.004604127720770665
week_number,0.0042520307155917165
t2m_nantes,0.003946384471462222
month,0.003912035732398565
prectot_lyon,0.003910932837049568
prectot_toulouse,0.0034447443717375925
prectot_bordeaux,0.00338280487488097
t2m_min_montpellier,0.003215502098426882
prectot_paris,0.0031767881276622057
prectot_montpellier,0.002585511826734358
t2m_montpellier,0.0023057474146864045
t2m_max_montpellier,0.0022225908988113764
t2m_max_rennes,0.0015648836019829188
prectot_rennes,0.0013053407823731336
t2m_max_nantes,0.0006418494856708833
weighted_t2m_min,0.0
t2m_max_lille,0.0
prectot_strasbourg,0.0
prectot_nice,0.0
weighted_prectot,0.0
