date,daily_electrical_consumption,t2m_min_bordeaux,t2m_bordeaux,t2m_max_bordeaux,prectot_bordeaux,t2m_min_lille,t2m_lille,t2m_max_lille,prectot_lille,t2m_min_paris,t2m_paris,t2m_max_paris,prectot_paris,t2m_min_rennes,t2m_rennes,t2m_max_rennes,prectot_rennes,t2m_min_nantes,t2m_nantes,t2m_max_nantes,prectot_nantes,t2m_min_toulouse,t2m_toulouse,t2m_max_toulouse,prectot_toulouse,t2m_min_marseille,t2m_marseille,t2m_max_marseille,prectot_marseille,t2m_min_lyon,t2m_lyon,t2m_max_lyon,prectot_lyon,t2m_min_nice,t2m_nice,t2m_max_nice,prectot_nice,t2m_min_strasbourg,t2m_strasbourg,t2m_max_strasbourg,prectot_strasbourg,t2m_min_montpellier,t2m_montpellier,t2m_max_montpellier,prectot_montpellier,weighted_t2m,weighted_t2m_min,weighted_t2m_max,weighted_prectot,weekday,month,week_number
2020-01-01,2907710.0,7.48,9.02,11.24,0.35,-1.44,0.58,2.89,0.21,0.62,2.61,4.66,1.02,4.45,7.36,9.96,1.64,5.1,7.9,10.97,2.11,2.68,6.66,10.34,0.02,7.52,8.7,10.44,0.01,-0.77,0.32,3.63,0.08,6.85,8.22,10.96,0.0,-2.28,-0.27,3.63,0.03,2.27,5.83,10.61,0.0,4.609299213110012,2.55343299526443,7.2064969006592525,0.5756228853991345,2,1,1
2020-01-02,2656012.0,4.66,7.15,10.37,0.04,1.3,3.9,6.84,0.22,3.2,5.12,6.82,0.78,5.77,8.23,10.27,0.25,6.15,8.64,11.28,0.44,1.31,5.44,11.08,0.02,7.34,9.86,11.67,0.08,-0.87,2.45,8.35,0.02,5.79,6.89,8.92,0.01,-2.56,-0.55,2.72,0.34,1.94,5.02,7.89,0.04,5.76599390270076,3.343765662681693,8.49148500118836,0.3595246758899466,3,1,1
2020-01-03,2735326.0,7.06,9.2,12.3,0.68,1.8,7.02,11.01,2.29,1.98,7.07,11.13,0.86,2.69,8.22,10.77,0.86,2.74,9.29,12.32,1.37,3.77,5.76,7.63,0.42,9.72,11.32,12.61,0.03,1.68,4.46,8.84,0.21,6.07,7.4,9.74,0.0,0.62,2.84,4.59,2.66,5.69,7.59,10.48,0.02,7.4444108697144475,3.846930943651676,10.53493691501645,0.7181444608626911,4,1,1
2020-01-04,2523374.0,2.37,7.02,10.49,0.28,1.79,4.0,8.36,0.03,0.31,3.9,8.6,0.17,2.09,5.11,9.48,0.04,0.99,4.15,9.54,0.01,2.08,6.98,10.34,1.05,7.66,9.89,13.2,0.0,-0.05,3.85,6.62,0.36,5.49,8.34,11.81,0.0,-0.04,1.6,3.45,0.92,3.03,7.05,11.8,0.02,5.505979720876443,2.1453912528324817,9.483244721567079,0.23821599130551116,5,1,1
2020-01-05,1886965.0,0.74,3.28,8.37,0.01,2.79,4.83,7.95,0.25,-1.23,3.72,7.81,0.13,2.2,5.25,8.01,0.05,2.05,4.4,8.54,0.07,-2.03,1.93,7.73,0.0,7.21,9.85,13.69,0.0,-0.91,1.3,5.26,0.05,6.66,8.57,11.38,0.0,0.22,2.11,5.29,0.21,2.33,4.83,10.49,0.0,4.6230092307959545,1.1855308647171547,8.7238232568223,0.07720806461607276,6,1,1
2020-01-06,1794625.0,0.41,4.2,8.57,0.07,0.95,3.31,6.19,0.15,-1.58,2.03,6.37,0.14,0.71,4.66,8.68,0.49,0.05,4.8,9.46,0.5,-0.67,3.29,11.02,0.0,9.88,11.27,13.05,0.24,-2.31,2.41,9.94,0.01,5.21,6.93,9.7,0.01,-2.04,0.05,4.04,0.09,2.22,6.77,10.3,0.07,4.304022528907723,0.9945392026143597,8.629003435806244,0.14768207426425628,0,1,2
2020-01-07,2201790.0,6.96,9.5,12.9,0.25,5.37,6.91,8.76,0.34,4.48,6.75,8.79,0.39,6.65,10.07,13.35,0.78,9.36,10.82,12.92,1.4,1.73,6.55,11.01,0.03,8.26,9.99,12.72,0.03,0.91,4.08,7.39,0.16,5.01,6.29,8.88,0.02,-0.86,1.94,5.11,0.8,3.52,7.06,12.51,0.0,7.191008522957403,4.701205268002409,9.98735820722767,0.3273335514638546,1,1,2
2020-01-08,1982034.0,5.8,9.21,14.04,0.04,8.21,9.66,11.06,4.42,8.86,9.68,11.28,0.96,10.67,11.49,12.96,1.27,10.7,11.33,12.71,2.53,6.05,8.16,13.16,0.07,8.3,11.41,14.45,0.0,4.07,5.96,9.2,0.16,5.06,7.61,11.28,0.0,-1.07,3.01,6.02,0.63,4.47,7.83,12.81,0.0,9.09178259067908,7.239717250399642,11.782488625395239,0.7510709206460872,2,1,2
2020-01-09,2162030.0,6.93,10.07,14.39,3.2,8.99,10.4,12.24,2.32,7.74,9.7,12.06,6.83,8.65,11.2,13.39,5.69,9.09,10.98,12.83,4.83,5.29,8.47,13.95,3.32,9.38,10.8,13.13,0.07,3.34,6.46,11.16,0.78,5.15,7.19,10.07,0.0,5.21,6.54,8.87,3.56,4.28,7.5,11.23,0.48,9.243854833971106,7.079805140631553,12.181433586855782,3.710085807469584,3,1,2
2020-01-10,2349314.0,5.8,8.83,10.85,2.05,2.82,5.91,8.98,1.62,1.34,5.56,8.26,0.86,3.52,7.21,9.54,1.27,3.76,7.41,9.93,0.5,2.64,6.8,9.98,2.23,7.92,10.71,12.04,3.37,2.69,5.27,8.98,1.15,4.7,6.97,9.24,1.01,2.87,5.96,9.03,2.1,3.6,7.19,11.13,2.93,6.871982271968006,3.3459264191970894,9.515295392318432,1.60501057665793,4,1,2
2020-01-11,2138274.0,1.78,5.18,10.2,0.01,2.14,3.97,6.83,0.0,0.36,2.88,7.11,0.01,2.56,6.06,10.38,0.01,1.61,5.29,9.57,0.01,1.56,4.01,8.72,0.01,7.64,9.59,12.79,0.04,-0.67,2.36,6.03,0.07,5.48,7.52,11.06,0.1,0.36,2.97,5.9,0.21,1.09,4.66,10.78,0.0,4.638095346420831,2.027052730965732,8.686157331899619,0.033311692313705094,5,1,2
2020-01-12,3236979.0,1.12,6.09,11.31,0.16,2.44,5.55,10.15,0.44,1.09,4.69,7.88,0.24,5.09,8.5,12.55,0.35,5.96,8.31,12.55,0.68,-0.8,3.41,7.91,0.0,8.31,10.14,13.09,0.0,-2.69,1.02,6.43,0.01,5.56,7.06,10.07,0.0,-2.31,0.28,3.17,0.21,1.05,4.74,10.64,0.0,5.408233359906508,2.201857040663638,9.19743602938315,0.17046673083645705,6,1,2
2020-01-13,3245357.0,4.56,6.85,10.58,0.03,4.46,6.39,8.63,0.56,5.2,6.36,7.46,0.53,5.78,9.22,11.55,3.88,6.86,9.57,11.08,4.15,-0.87,2.51,6.63,0.01,6.88,9.33,11.81,0.02,-0.59,2.78,6.93,0.02,4.4,6.09,8.21,0.08,1.07,2.66,6.36,0.19,1.33,4.18,7.97,0.01,6.165268438334118,4.070993586194376,8.510761258816874,0.594039810657363,0,1,3
2020-01-14,3220782.0,4.6,7.74,12.63,0.23,7.57,8.97,9.91,4.04,5.33,7.31,8.97,1.09,10.2,11.64,12.65,13.9,7.79,10.71,12.04,15.0,1.7,5.94,12.81,0.01,9.9,11.55,12.93,0.06,2.41,5.56,10.26,0.01,4.64,6.48,8.74,0.25,1.25,4.52,7.34,0.01,5.19,8.72,10.89,0.1,7.969205732657162,5.566594112379976,10.459312990741479,1.8856805112738908,1,1,3
2020-01-15,3150429.0,5.39,9.05,14.68,0.07,4.8,7.43,9.61,2.55,4.09,7.42,11.93,0.95,4.65,8.69,11.23,5.21,3.93,8.02,12.66,1.72,3.15,6.73,13.28,0.0,11.12,11.97,13.11,0.1,4.89,6.87,10.56,0.1,6.16,7.15,8.72,0.63,3.01,6.9,11.32,0.06,7.64,9.45,10.91,0.26,8.182374063445918,5.436366919253794,11.871501516307763,0.8017045564058638,2,1,3
2020-01-16,3100136.0,5.59,9.62,15.12,0.4,3.42,6.48,9.32,0.06,3.82,7.27,13.07,0.11,5.44,8.53,12.14,4.77,4.34,8.66,12.98,4.88,4.57,8.0,14.09,0.15,9.79,11.28,13.2,0.74,2.38,6.32,11.28,0.03,5.76,7.37,9.59,0.64,2.74,7.16,12.57,0.05,5.6,8.39,10.93,1.35,8.072219608330448,4.914058760955171,12.594486186542348,0.7153423655403215,3,1,3
2020-01-17,3098058.0,6.94,9.39,11.24,5.63,3.56,6.87,9.7,1.25,3.19,6.62,9.71,2.36,4.14,7.39,9.71,1.31,4.67,8.27,10.53,2.48,4.97,7.4,11.36,8.24,8.93,11.53,13.31,5.54,1.49,5.65,8.59,7.11,5.51,7.12,8.56,15.87,1.72,4.66,8.8,1.77,4.95,9.41,12.46,4.64,7.625149288294892,4.455066776166182,10.401979728225404,4.62820288009118,4,1,3
2020-01-18,3009259.0,4.21,6.52,8.79,4.21,0.35,3.53,7.6,0.31,-0.98,3.25,7.72,0.11,1.87,4.8,9.38,0.16,2.47,5.19,10.11,0.05,4.18,5.62,9.03,0.68,6.87,8.21,10.63,0.1,-0.2,2.23,6.21,0.1,4.09,6.0,8.87,0.13,-0.37,2.51,4.69,0.73,2.93,4.96,9.39,0.01,4.587456375983529,1.7121208366257514,8.347121423707513,0.3622992744070266,5,1,3
2020-01-19,3056905.0,2.26,4.45,7.57,0.03,0.29,3.54,7.95,0.55,-1.0,2.39,6.97,0.06,1.16,3.66,8.12,0.01,0.17,3.01,7.48,0.01,-1.61,3.02,7.95,0.43,6.92,8.36,9.8,1.01,-1.47,0.62,4.38,0.04,3.84,4.9,6.84,0.55,-1.5,0.17,3.69,0.4,2.35,4.01,6.28,0.01,3.4815534517484763,0.8026749415966388,7.1714450478943474,0.28113267864113034,6,1,3
2020-01-20,3500099.0,0.31,2.89,7.08,0.0,0.06,2.49,5.79,0.09,-0.55,1.59,5.85,0.13,1.26,3.41,7.49,0.04,-0.2,2.32,6.7,0.04,-2.94,1.21,6.81,0.03,7.56,8.91,10.91,3.73,-3.1,-0.91,4.35,0.02,3.48,4.4,5.83,1.3,-2.81,0.25,4.89,0.05,1.62,3.79,7.69,0.99,2.8024140317718964,0.5830467021454457,6.728997157455328,0.7238055157626024,0,1,4
2020-01-21,3583199.0,-0.11,4.25,10.41,0.03,-1.54,0.49,5.29,0.04,-3.69,-0.81,4.18,0.04,-1.51,1.57,6.37,0.02,-1.25,0.8,5.21,0.05,1.27,4.56,8.27,0.58,8.36,10.23,11.86,1.57,-3.67,-1.48,2.5,0.01,3.35,5.12,6.98,0.04,-3.4,-1.92,2.77,0.04,2.49,4.93,7.64,5.93,2.1717016518960905,-0.3784445239468393,6.185301134529243,0.5879018115355638,1,1,4
2020-01-22,3618232.0,2.03,6.36,9.94,4.12,-1.09,1.11,3.85,0.26,-3.06,-1.38,3.26,0.08,-1.98,0.6,6.04,0.01,-2.83,0.31,5.72,0.04,5.13,8.2,10.58,11.76,11.0,11.94,13.6,0.57,-2.45,-0.45,4.41,0.02,4.96,7.2,10.02,0.05,-3.66,-2.4,1.31,0.05,6.06,7.6,9.61,5.04,2.87654769367059,0.9146094018931257,6.594358855773469,1.5085516450732481,2,1,4
2020-01-23,3598711.0,7.23,9.27,11.45,1.74,0.49,2.65,6.21,0.12,-3.6,-1.05,3.91,0.05,-1.98,0.69,5.36,0.0,-1.98,0.52,3.28,0.02,5.29,9.45,13.52,7.3,11.45,12.34,13.6,0.29,-1.35,0.41,3.12,0.01,5.66,7.2,9.0,0.21,-3.79,-1.59,2.69,0.06,6.52,8.61,11.44,2.41,3.517237692620023,1.2773089825513955,7.05797782651475,0.8666615056918536,3,1,4
