date,daily_electrical_consumption
2015-01-01,3227643.0
2015-01-02,3273903.0
2015-01-03,2787401.0
2015-01-04,2912191.0
2015-01-05,2152950.0
2015-01-06,2259053.0
2015-01-07,2440843.0
2015-01-08,1907286.0
2015-01-09,2282859.0
2015-01-10,2421375.0
2015-01-11,2222128.0
2015-01-12,3043552.0
2015-01-13,3285089.0
2015-01-14,3284214.0
2015-01-15,3292674.0
2015-01-16,3270901.0
2015-01-17,3126326.0
2015-01-18,3126831.0
2015-01-19,3564000.0
2015-01-20,3691347.0
2015-01-21,3729082.0
2015-01-22,3734249.0
2015-01-23,3784974.0
2015-01-24,3497995.0
2015-01-25,3317466.0
2015-01-26,3590320.0
2015-01-27,3554302.0
2015-01-28,3568263.0
2015-01-29,3563595.0
2015-01-30,3593368.0
2015-01-31,3326494.0
2015-02-01,3312086.0
2015-02-02,3666416.0
2015-02-03,3059688.0
2015-02-04,2960875.0
2015-02-05,2173635.0
2015-02-06,2329004.0
2015-02-07,2451088.0
2015-02-08,1796799.0
2015-02-09,2261002.0
2015-02-10,2410902.0
2015-02-11,2663333.0
2015-02-12,3098191.0
2015-02-13,3452917.0
2015-02-14,3083468.0
2015-02-15,2952387.0
2015-02-16,3393714.0
2015-02-17,3426014.0
2015-02-18,3455302.0
2015-02-19,3458434.0
2015-02-20,3409179.0
2015-02-21,3135423.0
2015-02-22,3074705.0
2015-02-23,3355037.0
2015-02-24,3431026.0
2015-02-25,3354549.0
2015-02-26,3281102.0
2015-02-27,3284519.0
2015-02-28,3078665.0
2015-03-01,3076515.0
2015-03-02,3797984.0
2015-03-03,3127174.0
2015-03-04,2872135.0
2015-03-05,2032488.0
2015-03-06,2335093.0
2015-03-07,2438230.0
2015-03-08,2077422.0
2015-03-09,2273392.0
2015-03-10,2140616.0
2015-03-11,2729250.0
2015-03-12,3184084.0
2015-03-13,2981377.0
2015-03-14,2822112.0
2015-03-15,2770873.0
2015-03-16,3063898.0
2015-03-17,2991968.0
2015-03-18,2885061.0
2015-03-19,2965098.0
2015-03-20,2988537.0
2015-03-21,2766682.0
2015-03-22,2688899.0
2015-03-23,2981802.0
2015-03-24,3054872.0
2015-03-25,3158697.0
2015-03-26,3206834.0
2015-03-27,3024927.0
2015-03-28,2670145.0
2015-03-29,2509422.0
2015-03-30,2805624.0
2015-03-31,2821741.0
2015-04-01,2826180.0
2015-04-02,3886704.0
2015-04-03,3219046.0
2015-04-04,2623626.0
2015-04-05,2331717.0
2015-04-06,2353350.0
2015-04-07,2167995.0
2015-04-08,2089720.0
2015-04-09,2249674.0
2015-04-10,2029030.0
2015-04-11,2671967.0
2015-04-12,3102908.0
2015-04-13,2389120.0
2015-04-14,2382080.0
2015-04-15,2346799.0
2015-04-16,2347248.0
2015-04-17,2355438.0
2015-04-18,2139183.0
2015-04-19,2047516.0
2015-04-20,2370207.0
2015-04-21,2378945.0
2015-04-22,2359218.0
2015-04-23,2359502.0
2015-04-24,2332675.0
2015-04-25,2075653.0
2015-04-26,1973383.0
2015-04-27,2382747.0
2015-04-28,2494423.0
2015-04-29,2523020.0
2015-04-30,2526819.0
2015-05-01,3421196.0
2015-05-02,3940525.0
2015-05-03,3269881.0
2015-05-04,2526594.0
2015-05-05,2334165.0
2015-05-06,2341310.0
2015-05-07,1971844.0
2015-05-08,2112705.0
2015-05-09,1987053.0
2015-05-10,2381146.0
2015-05-11,2634355.0
2015-05-12,2889173.0
2015-05-13,2280266.0
2015-05-14,1997749.0
2015-05-15,2162860.0
2015-05-16,2053779.0
2015-05-17,1911560.0
2015-05-18,2261517.0
2015-05-19,2359599.0
2015-05-20,2411598.0
2015-05-21,2420337.0
2015-05-22,2360436.0
2015-05-23,2064274.0
2015-05-24,1878204.0
2015-05-25,1956580.0
2015-05-26,2283614.0
2015-05-27,2317135.0
2015-05-28,2324325.0
2015-05-29,2299017.0
2015-05-30,2025336.0
2015-05-31,1894293.0
2015-06-01,3620680.0
2015-06-02,4060668.0
2015-06-03,3205221.0
2015-06-04,2547505.0
2015-06-05,2366339.0
2015-06-06,2028543.0
2015-06-07,2358597.0
2015-06-08,2145250.0
2015-06-09,1871638.0
2015-06-10,2394967.0
2015-06-11,2561173.0
2015-06-12,2674718.0
2015-06-13,1992139.0
2015-06-14,1851932.0
2015-06-15,2211036.0
2015-06-16,2267688.0
2015-06-17,2279334.0
2015-06-18,2305605.0
2015-06-19,2246925.0
2015-06-20,1985658.0
2015-06-21,1848950.0
2015-06-22,2243698.0
2015-06-23,2297796.0
2015-06-24,2302824.0
2015-06-25,2323708.0
2015-06-26,2319938.0
2015-06-27,2043978.0
2015-06-28,1909586.0
2015-06-29,2302607.0
2015-06-30,2405660.0
2015-07-01,3568040.0
2015-07-02,3669758.0
2015-07-03,2857108.0
2015-07-04,2800858.0
2015-07-05,2374326.0
2015-07-06,1868828.0
2015-07-07,2436782.0
2015-07-08,2129509.0
2015-07-09,2236116.0
2015-07-10,2416173.0
2015-07-11,2228774.0
2015-07-12,2942244.0
2015-07-13,2142796.0
2015-07-14,2010878.0
2015-07-15,2353162.0
2015-07-16,2430251.0
2015-07-17,2407980.0
2015-07-18,2105919.0
2015-07-19,1925956.0
2015-07-20,2324014.0
2015-07-21,2413329.0
2015-07-22,2383832.0
2015-07-23,2350559.0
2015-07-24,2315287.0
2015-07-25,2010406.0
2015-07-26,1859461.0
2015-07-27,2180709.0
2015-07-28,2228784.0
2015-07-29,2221629.0
2015-07-30,2188848.0
2015-07-31,2139496.0
2015-08-01,3440033.0
2015-08-02,3389622.0
2015-08-03,2629279.0
2015-08-04,2751738.0
2015-08-05,2053187.0
2015-08-06,2232833.0
2015-08-07,2369912.0
2015-08-08,1917533.0
2015-08-09,2296524.0
2015-08-10,2433297.0
2015-08-11,2109360.0
2015-08-12,3042600.0
2015-08-13,2061164.0
2015-08-14,2007092.0
2015-08-15,1789299.0
2015-08-16,1708279.0
2015-08-17,1965697.0
2015-08-18,2031272.0
2015-08-19,2050275.0
2015-08-20,2080991.0
2015-08-21,2095125.0
2015-08-22,1921313.0
2015-08-23,1790171.0
2015-08-24,2107025.0
2015-08-25,2172507.0
2015-08-26,2221778.0
2015-08-27,2258709.0
2015-08-28,2235699.0
2015-08-29,2017005.0
2015-08-30,1897172.0
2015-08-31,2264050.0
2015-09-01,3264242.0
2015-09-02,3670270.0
2015-09-03,2901218.0
2015-09-04,2637155.0
2015-09-05,1999321.0
2015-09-06,2294131.0
2015-09-07,2351090.0
2015-09-08,1760235.0
2015-09-09,2305955.0
2015-09-10,2431364.0
2015-09-11,2457415.0
2015-09-12,3101916.0
2015-09-13,1891617.0
2015-09-14,2235675.0
